Control Name,English,Thai
PageTitle,Project Proposal Form,แบบฟอร์มเสนอโครงการ
AboutUsHeader,About Us,เกี่ยวกับเรา
AboutUsText,"Thank you for reaching out to us, we would love to partner and help you out. Our ministry focuses on the development of Christian media in local languages by providing equipment loans and media training. We would like to know more about your vision and what you would like to accomplish with this partnership. Please fill out this form to be submitted to the Board for approval of the project. ",ขอบคุณที่ติดต่อเรา เรามีความยินดีที่จะเป็นพันธมิตรและช่วยเหลือคุณ พันธกิจของเรามุ่งเน้นในการพัฒนาสื่อคริสเตียนในภาษาท้องถิ่น โดยการให้ยืมอุปกรณ์และการฝึกอบรมด้านสื่อ เราอยากทราบข้อมูลเพิ่มเติมเกี่ยวกับวิสัยทัศน์ของคุณ และสิ่งที่คุณต้องการทำให้สำเร็จผ่านความร่วมมือนี้ กรุณากรอกแบบฟอร์มนี้เพื่อนำเสนอต่อคณะกรรมการเพื่อพิจารณาอนุมัติโครงการ
OrganizationSectionTitle,Organization Info,ข้อมูลองค์กร
MainContactFieldLabel,Main Contact,ผู้ประสานงานหลัก
MainContactFieldText,Name of your organization's primary point of contact. ,ชื่อผู้ประสานงานหลักในองค์กรของคุณ
EmailFieldLabel,Email,อีเมล
EmailFieldText,The email for your organization's primary point of contact. ,อีเมล์ของผู้ประสานงานหลักในองค์กรของคุณ
PhoneNumberFieldLabel,Phone Number,หมายเลขโทรศัพท์
PhoneNumberFieldText,The phone number for your organization's primary point of contact. ,หมายเลขโทรศัพท์ของผู้ประสานงานหลัก
OrganizationFieldLabel,Organization Name,ชื่อองค์กร
OrganizationHistoryFieldLabel,Organization History,ประวัติองค์กร
OrganizationHistoryText,A brief history of your Organization. ,ประวัติโดยย่อขององค์กรของคุณ
StaftArePaidCheckboxLabel,Our Staff are Paid,พนักงานของเราได้รับค่าจ้าง
TeamMembersSectionTitle,Team Members,สมาชิกในทีม 
TeamMemberAddButtonText,Add Member,เพิ่มสมาชิก
TeamMemberNameFieldLabel,Name,ชื่อ
TeamMemberRoleFieldLabel,Role,บทบาทหน้าที่
RemoveTeamMemberButtonText,Remove,ลบออก
ProjectInfoSectionTitle,Project Info,ข้อมูลโครงการ
ProjectTitleFieldLabel,Project Title,ชื่อโครงการ
TargetAudienceFieldLabel,Target Audience,กลุ่มเป้าหมาย
KeyObjectivesFieldLabel,Key Objectives,วัตถุประสงค์หลัก
ProjectTimeFrameFieldLabel,Project Time Frame,กรอบเวลาของโครงการ
MainMethodsFieldLabel,Main Methods,วิธีการหลัก
MainMethodsFieldText,What are the main methods you intend to use to reach your goals? ,คุณตั้งใจจะใช้หลักการและวิธีการอย่างไรเพื่อให้บรรลุเป้าหมาย
PlannedVideosFieldLabel,Planned,แผนงาน
PlannedVideosFieldText,"Please be as specific as possible about the content / genre and approximate release dates. For example: ""January - short film about a family coming to Christ, February - testimony from a new believer""","โปรดระบุให้ชัดเจนที่สุดเกี่ยวกับเนื้อหา / ประเภท และกำหนดการเผยแพร่ เช่น ""มกราคม - หนังสั้น เกี่ยวกับครอบครัวที่มารู้จักพระคริสต์, กุมภาพันธ์ - พยานชีวิตจากผู้เชื่อใหม่"""
ProjectCostEstimateFieldLabel,Project Cost Estimate,ประมาณค่าใช้ของโครงการ
ProjectCostEsitmateCurrencyLabel,USD Per year $,เป็นเงิน ดอลลาร์สหรัฐต่อปี
ProjectCostFieldText,Project Video does not pay for production costs or salaries but simply wishes to see that there is a budget plan. ,โปรเจค วิดีโอ ไม่จ่ายค่าผลิตหรือเงินเดือน เพียงต้องการให้มีแผนงบประมาณในโครงการเท่านั้น
CurrentResourcesSectionTitle,Current Resources,ทรัพยากรปัจจุบัน
CurrentEquipmentFieldLabel,Current Equipment,เครื่องมือ/อุปกรณ์ที่มีอยู่ปัจจุบัน
CurrentEquipmentFieldText,What video and audio equipment do you currently have? ,เครื่องมือ/อุปกรณ์ที่เกี่ยวกับงานวิดีโอ และ ออดีโอ(เสียง) ปัจจุบันคุณมีอะไรบ้าง?
AudioSpaceCheckboxLabel,We have an audio space for recording,เรามีพื้นที่(ห้อง)สำหรับการบันทึกเสียง
AudioSpaceDescriptionFieldLabel,Audio space Description,คำอธิบายห้องบันทึกเสียง 
HaveComputerCheckboxLabel,We have a Computer,เรามีคอมพิวเตอร์
ComputerDescriptionFieldLabel,Computer Description,คำอธิบายเกี่ยวกับคอมพิวเตอร์ 
ComputerDescriptionFieldText,Is your computer a Mac or PC? What are it's specifications? ,คอมพิวเตอร์ของคุณเป็น Mac หรือ PC?  มีสเปกเครื่องอย่างไรบ้าง?
PortfolioSectionTitle,Porfolio ,ผลงาน
AddLinkButtonText,Add Link,ใส่ลิ้งก์
PortfolioSectionDescription,Please add links to videos your team have created or to your social media channels if you have uploaded multiple videos.,โปรดใส่ลิ้งก์งานวิดีโอที่ทีมของคุณสร้างขึ้น หรือ ลิ้งก์ไปยังสื่อ/ช่องทางโซเชียลมีเดีย หากคุณอัปโหลดวิดีโอหลายรายการ 
PortfolioLinkNameFieldLabel,Name,ชื่อ
PortfolioLinkUrlFieldLabel,Url,URL
EndingNoteHeader,Note,บันทึกข้อความ
EndingNoteText,Once we have the received your application it will be reviewed for approval by the board. Additional information might be required to further process the application. You should have a response within a month. ,เมื่อเราได้รับใบสมัครของคุณแล้ว คณะกรรมการจะตรวจสอบเพื่อพิจารณาอนุมัติ อาจมีการขอข้อมูลเพิ่มเติมเพื่อดำเนินการพิจารณาใบสมัครต่อไป คุณจะได้รับคำตอบภายในหนึ่งเดือน
SubmitButtonText,Send Proposal,
